Comparações	 Trocas
4851 4851
498501 498501
49985001 49985001
4999850001 4999850001
19999700001 19999700001
124999250001 124999250001
499998500001 499998500001
Comparações	 Trocas
98 0
998 0
9998 0
99998 0
199998 0
499998 0
999998 0
Comparações	 Trocas
2240 2240
245854 245854
25089038 25089038
2492725963 2492725963
10016937173 10016937173
62510719639 62510719639
250102139160 250102139160
Comparações	 Trocas
98 0
998 0
9998 0
99998 0
199998 0
499998 0
999998 0
Comparações	 Trocas
98 2240
998 245854
9998 25089038
99998 2492725963
199998 10016937173
499998 62510719639
999998 250102139160
